ticker,percentage,value,price,number
000030.KS,0.03,146522,16050.0,9
0268.HK,0.16,775850,9.19,84423
8306.T,-0.22,-1096953,680.1,-1612
AAPL,0.08,386193,187.5,2059
AC.TO,-0.03,-139316,23.54,-5918
AIR.PA,0.19,928523,96.73,9599
AMZN,0.12,581332,1624.89,357
ATHM,0.07,340729,114.67,2971
BIDU,-0.21,-1014299,241.63,-4197
DAL,0.02,84782,55.87,1517
DDS,0.02,106696,82.61,1291
GLEN.L,-0.04,-219821,372.2,-590
GLLA,0.01,33025,0.11,300232
MON,0.13,631627,127.51,4953
NFLX,0.05,247581,353.54,700
NVDA,0.02,76412,252.99,302
RIG,0.04,207667,12.57,16520
TEVA,0.15,739654,21.65,34164
XIC.TO,0.41,2003623,25.57,78358
XLE,0.02,120319,76.6,1570
FLTR,0.00,0,25.33,0
total,1.00,4940150,,526712
